,0,1,2,3
216,Many people also experience discomfort when reading from a computer display for long periods.,"Some say that digital storage is more secure than physical storage,",books_obsolete,neutral
217,Many people also experience discomfort when reading from a computer display for long periods.,"but there are many security issues with files stored on computers that are not shared by physical files,",books_obsolete,neutral
218,"Some say that digital storage is more secure than physical storage,",as physical media offers many benefits not shared by it's digital counterpart.,books_obsolete,neutral
219,such as the threat of hacking.,This is very unlikely to happen,books_obsolete,neutral
220,such as the threat of hacking.,as physical media offers many benefits not shared by it's digital counterpart.,books_obsolete,neutral
221,such as the threat of hacking.,"Some say that digital storage is more secure than physical storage,",books_obsolete,neutral
222,Some believe that with the coming of computers and digital books paper and traditionally printed books will soon become obsolete.,"Some say that digital storage is more secure than physical storage,",books_obsolete,neutral
223,Some believe that with the coming of computers and digital books paper and traditionally printed books will soon become obsolete.,"but there are many security issues with files stored on computers that are not shared by physical files,",books_obsolete,neutral
224,"While lots of people have really enjoyed all the technology around being able to read electronically,","Most of these people are probably older so as the older generation dies, paper books will become more obsolete.",books_obsolete,neutral
225,"However, due to funding I don't think that schools and colleges will ever be able to go fully electronic.",So there will always be paper books out there.,books_obsolete,neutral
226,"However, due to funding I don't think that schools and colleges will ever be able to go fully electronic.","While lots of people have really enjoyed all the technology around being able to read electronically,",books_obsolete,neutral
227,"However, due to funding I don't think that schools and colleges will ever be able to go fully electronic.",lots of people will always prefer books.,books_obsolete,neutral
228,"Most of these people are probably older so as the older generation dies, paper books will become more obsolete.","While lots of people have really enjoyed all the technology around being able to read electronically,",books_obsolete,neutral
229,"Readers, especially avid ones, are often drawn to the physical presence of literature as much as its content.",it is unlikely that paper books will become obsolete in the future.,books_obsolete,neutral
230,Many voracious readers love to hold books,"It could be argued that e-books are more convenient, and that is true.",books_obsolete,neutral
231,"However, the experience of reading a book is far more than just the information we get from it.",Paper books are a joy to read. Electronic books can never replace this feeling.,books_obsolete,neutral
232,making it inconvenient in many situations.,giving it a huge disadvantage compared to storing information digitally.,books_obsolete,neutral
233,"Paper can deteriorate if improperly stored,",giving it a huge disadvantage compared to storing information digitally.,books_obsolete,neutral
234,"Paper products also cannot be accessed remotely,",making it inconvenient in many situations.,books_obsolete,neutral
235,Composting is a good way to reduce your household waste,One drawback of composting is that not all material is beneficial to the environment.,composting_helps_environment,neutral
236,People think it's difficult to compost.,Landfill waste is bad for the environment.,composting_helps_environment,neutral
237,"But, it's not when you have a separate bin just for composting.",Landfill waste is bad for the environment.,composting_helps_environment,neutral
238,Food waste is taking up too much space as landfill.,People think it's difficult to compost.,composting_helps_environment,neutral
239,Food waste is taking up too much space as landfill.,Landfill waste is bad for the environment.,composting_helps_environment,neutral
240,It takes up so much space and makes it useless.,Composting can help save the environment.,composting_helps_environment,neutral
241,It takes up so much space and makes it useless.,People think it's difficult to compost.,composting_helps_environment,neutral
242,because composting reduces greenhouse gases.,There can be a downside with composting due to runoff,composting_helps_environment,neutral
243,Composting also helps to replenish soil with critical minerals and nutrients that lead to better soil quality.,There can be a downside with composting due to runoff,composting_helps_environment,neutral
244,Another benefit of composting is that it helps to keep food scraps out of landfills.,There can be a downside with composting due to runoff,composting_helps_environment,neutral
245,as some composting materials contain heavy metals,Composting can help the environment,composting_helps_environment,neutral
246,"Overall, composting has multiple benefits that will all contribute in aggregate toward helping our environment.",There can be a downside with composting due to runoff,composting_helps_environment,neutral
247,Composting is the best way to mitigate the loss,and turn it into a highly beneficial fertilizer.,composting_helps_environment,neutral
248,There is some consideration required to consider the logistics of composting,and turn it into a highly beneficial fertilizer.,composting_helps_environment,neutral
249,since it takes a good amount space,Composting can be very beneficial for our environment.,composting_helps_environment,neutral
250,since it takes a good amount space,and turn it into a highly beneficial fertilizer.,composting_helps_environment,neutral
251,"and can, but not always, produce an odor.",since it takes a good amount space,composting_helps_environment,neutral
252,"However, any space required is more than offset by the reduction of material sent to landfills.",Composting can be very beneficial for our environment.,composting_helps_environment,neutral
253,"However, any space required is more than offset by the reduction of material sent to landfills.",and turn it into a highly beneficial fertilizer.,composting_helps_environment,neutral
254,but you can still game on it and watch television.,Smart watches are going to replace cell phones.,smart_watches_replace_cell_phones,neutral
255,"But for someone like me who has really bad eye, you can't see the smaller text.",Smart watches won't replace cell phones.,smart_watches_replace_cell_phones,neutral
256,"Or, for someone who is clumsy like myself and is always bumping into things, the watch is destined to break.",Smart watches won't replace cell phones.,smart_watches_replace_cell_phones,neutral
257,The pollution will have enough of an impact on my health that will negate any benefits from working there.,"Regardless of a good job offer, I would not live in Beijing.",life_in_dirty_city_if_good_job,neutral
258,Add to that the social and political limitations,"Regardless of a good job offer, I would not live in Beijing.",life_in_dirty_city_if_good_job,neutral
259,In order to combat this I purchased a mask in order to remain healthier in these situations.,I would consider living in a city like Beijing if offered a job there.,life_in_dirty_city_if_good_job,neutral
260,Pollution can cause respiratory disease such as emphysema and asthma.,No I would not live in a high-pollution city,life_in_dirty_city_if_good_job,neutral
261,"In addition, lung damage can be done by inhaling all that dirt.",No I would not live in a high-pollution city,life_in_dirty_city_if_good_job,neutral
262,There are many more cons versus pros in this situation.,because of the effects on one's health.,life_in_dirty_city_if_good_job,neutral
263,I do not think a high paying job would be worth it if it either messed me up for life or caused my life to end early because of the high rate of pollution.,"I might want to move there to be closer to Japan and have a high paying job,",life_in_dirty_city_if_good_job,neutral
264,I have not seen or even heard of China working to lower or rid the city of its problem.,I would be too worried about my health to move to Beijing.,life_in_dirty_city_if_good_job,neutral
265,I have not seen or even heard of China working to lower or rid the city of its problem.,"I might want to move there to be closer to Japan and have a high paying job,",life_in_dirty_city_if_good_job,neutral
266,but in the end it wouldn't be worth it.,I would be too worried about my health to move to Beijing.,life_in_dirty_city_if_good_job,neutral
267,but in the end it wouldn't be worth it.,I do not think a high paying job would be worth it if it either messed me up for life or caused my life to end early because of the high rate of pollution.,life_in_dirty_city_if_good_job,neutral
268,I would only be contributing to the pollution problem by adding myself and my family.,Living in a city where pollution is an excessive problem is not a good idea.,life_in_dirty_city_if_good_job,neutral
269,"One could argue that having a job that pays well would outweigh any negative impacts to the environment,",Living in a city where pollution is an excessive problem is not a good idea.,life_in_dirty_city_if_good_job,neutral
270,and that supporting oneself and one's family is more important than protecting the environment.,Living in a city where pollution is an excessive problem is not a good idea.,life_in_dirty_city_if_good_job,neutral
271,and that supporting oneself and one's family is more important than protecting the environment.,"Even if good employment was secured,",life_in_dirty_city_if_good_job,neutral
272,"However, I believe it is everyone's responsibility to act in a way that protects our environment for our future generations.",Living in a city where pollution is an excessive problem is not a good idea.,life_in_dirty_city_if_good_job,neutral
273,"However, I believe it is everyone's responsibility to act in a way that protects our environment for our future generations.","Even if good employment was secured,",life_in_dirty_city_if_good_job,neutral
274,The chances of anything untoward happening to a nuclear facility are also slim.,"It has been proven, over six decades, to have a minimal impact on the environment,",nuclear_energy_safe,neutral
275,but there have been relatively few fatalities associated with it.,"It has been proven, over six decades, to have a minimal impact on the environment,",nuclear_energy_safe,neutral
276,Nuclear energy has been used for years with very few major issues.,"However, it is dirty and damages the environment.",nuclear_energy_safe,neutral
277,It is cheap to produce,"However, it is dirty and damages the environment.",nuclear_energy_safe,neutral
278,There are many safeguards in place at power plants to prevent accidents.,The benefits of nuclear energy outweigh the risks.,nuclear_energy_safe,neutral
279,It's rare to have a nuclear power plant accident.,The benefits of nuclear energy outweigh the risks.,nuclear_energy_safe,neutral
280,It is toxic,There is no way to handle nuclear waste responsibly.,responsible_handling_of_nuclear_waste,neutral
281,"It could be handled """"responsibly"""" for a time, possibly even a long time,",Eventually there will be a leak or some other disastrous scenario,responsible_handling_of_nuclear_waste,neutral
282,"If nuclear waste were to get in the wrong hands, (ex. terrorist) the results could be catastrophic.",The risk of contamination by far outweighs any economical advantage that creates nuclear waste.,responsible_handling_of_nuclear_waste,neutral
283,It is very radioactive,hence hard to handle it responsibly.,responsible_handling_of_nuclear_waste,neutral
284,It's considered a high level waste.,hence hard to handle it responsibly.,responsible_handling_of_nuclear_waste,neutral
285,The trash needs to go somewhere.,"Landfills are nasty and toxic, this is reasonably true.",trash_in_landfills,neutral
286,The garbage needs to be dumped somewhere.,"Landfills are nasty and toxic, this is reasonably true.",trash_in_landfills,neutral
287,"There are places in the world without landfills, and they suck.","Landfills are nasty and toxic, this is reasonably true.",trash_in_landfills,neutral
288,because they cause a lot of pollution and run off.,It also takes up a ton of space and acreage.,trash_in_landfills,neutral
289,Landfills also produce a lot of odor,It also takes up a ton of space and acreage.,trash_in_landfills,neutral
290,Landfills also produce a lot of odor,"However, apparently the thought that we are running out of landfill space is not true.",trash_in_landfills,neutral
291,"However, apparently the thought that we are running out of landfill space is not true.",Landfills are bad for handling our trash,trash_in_landfills,neutral
292,"That being said, they still are not the best way of handling our trash.",Landfills are bad for handling our trash,trash_in_landfills,neutral
293,"That being said, they still are not the best way of handling our trash.",It also takes up a ton of space and acreage.,trash_in_landfills,neutral
294,Government regulation is a powerful and influential entity.,"If regulated, solar energy has the potential to solve energy problems.",government_regulation_increases_solar_energy,neutral
295,Though force creates resistance from individuals and corporations.,"If regulated, solar energy has the potential to solve energy problems.",government_regulation_increases_solar_energy,neutral
296,Solar energy is an untapped resource in many areas of the world.,By either enforcing or encouraging solar energy use government may be a driving force.,government_regulation_increases_solar_energy,neutral
297,Energy companies in the U.S. are privately owned and make their choices based on what is economically feasible.,"Government can pass regulations to make wind energy more inviting to investors and businesses,",government_regulation_increases_solar_energy,neutral
298,Without regulation companies will not use it.,The government can regulate electric companies so that they have to incorporate more wind energy into their plans. By forcing them to use wind energy this will indeed speed it up.,government_regulation_increases_solar_energy,neutral
299,Without regulation companies will not use it.,There are those that say that government regulation always comes with too much red tape and inevitably slows progress.,government_regulation_increases_solar_energy,neutral
300,as it provides incentives for using wind energy,"The world must reduce its reliance on fossil fuels as a main source of energy,",government_regulation_increases_solar_energy,neutral
301,"and penalties for relying on other, more polluting forms of energy.",Wind energy is a viable form of alternative energy production that should be encouraged in use.,government_regulation_increases_solar_energy,neutral
302,"and penalties for relying on other, more polluting forms of energy.","The world must reduce its reliance on fossil fuels as a main source of energy,",government_regulation_increases_solar_energy,neutral
303,as fossil fuel is finite,Wind energy is a viable form of alternative energy production that should be encouraged in use.,government_regulation_increases_solar_energy,neutral
304,and it's use causes widespread damage to the environment.,"Government regulation is important for this,",government_regulation_increases_solar_energy,neutral
305,and it's use causes widespread damage to the environment.,Wind energy is a viable form of alternative energy production that should be encouraged in use.,government_regulation_increases_solar_energy,neutral
306,"Another option of alternate energy, nuclear power, has its own environmental and safety risks that make it non-viable as a main source of power.","Government regulation is important for this,",government_regulation_increases_solar_energy,neutral
307,"Another option of alternate energy, nuclear power, has its own environmental and safety risks that make it non-viable as a main source of power.","The world must reduce its reliance on fossil fuels as a main source of energy,",government_regulation_increases_solar_energy,neutral
308,"Wind energy, along with other types of energy such as solar power, is self-renewing, clean, and relatively safe for both people and the surrounding ecosystems.","Government regulation is important for this,",government_regulation_increases_solar_energy,neutral
309,"Wind energy, along with other types of energy such as solar power, is self-renewing, clean, and relatively safe for both people and the surrounding ecosystems.","The world must reduce its reliance on fossil fuels as a main source of energy,",government_regulation_increases_solar_energy,neutral
310,"However, not having your partner with you all of the time can cause strain in even the best relationships.","For the most part, I think long distance relationships work for a short time, but in the long run, no.",long_distance_relationships,neutral
311,There are many opportunities for people in long distance relationships to engage in risky behavior with people who are not their partner due to the distance.,Many people say that long distance relationships work as well as regular relationships,long_distance_relationships,neutral
312,but that has yet to be proven.,Long distance relationships on average do not work.,long_distance_relationships,neutral
313,"However, with some counselling and support they can recover from it.",Kids can recover from a divorce.,kids_recovery_from_divorce,neutral
314,"It is often more beneficial to have two parents in the household,",but it is an event they can recover from.,kids_recovery_from_divorce,neutral
315,"It is often more beneficial to have two parents in the household,","Divorce can be devastating to children in the family,",kids_recovery_from_divorce,neutral
316,"however, if the marriage is unhappy, divorce would be better for all members of the family.",but it is an event they can recover from.,kids_recovery_from_divorce,neutral
317,Children are resilient and can often bounce back from traumatic events quicker and more easily than adults.,"As long as the kids are provided with a stable home life, divorce does not have to be an enormous trauma from which there is no recovering.",kids_recovery_from_divorce,neutral
318,Children are resilient and can often bounce back from traumatic events quicker and more easily than adults.,"It is often more beneficial to have two parents in the household,",kids_recovery_from_divorce,neutral
319,Children are resilient and can often bounce back from traumatic events quicker and more easily than adults.,"Divorce can be devastating to children in the family,",kids_recovery_from_divorce,neutral
320,"Divorce can be devastating to children in the family,","It is often more beneficial to have two parents in the household,",kids_recovery_from_divorce,neutral
321,but it is an event they can recover from.,"It is often more beneficial to have two parents in the household,",kids_recovery_from_divorce,neutral
322,and it creates a lower economic living too,Among other things it also causes stress for the children of the couple,teenage_marriage,neutral
323,as on average they are not college educated.,Among other things it also causes stress for the children of the couple,teenage_marriage,neutral
324,Among other things it also causes stress for the children of the couple,and it creates a lower economic living too,teenage_marriage,neutral
325,as there is often conflict due to not taking proper time to ensure compatibility,and it creates a lower economic living too,teenage_marriage,neutral
326,Teenage marriage often ends in divorce.,and it creates a lower economic living too,teenage_marriage,neutral
327,Teenage marriage often ends in divorce.,Among other things it also causes stress for the children of the couple,teenage_marriage,neutral
328,Teenage marriages could be a good idea if both people truly love one another.,Teenage marriage would most certainty cause a shake up in our society today.,teenage_marriage,neutral
329,"People should have the right to marry whomever they choose to, whenever they choose to.",Teenage marriages is not a good idea.,teenage_marriage,neutral
330,"People should have the right to marry whomever they choose to, whenever they choose to.",Teenage marriage would most certainty cause a shake up in our society today.,teenage_marriage,neutral
331,"However, this is a very young age, and a teenager's decision making is not up to par with an adults.",Teenage marriages is not a good idea.,teenage_marriage,neutral
332,"However, this is a very young age, and a teenager's decision making is not up to par with an adults.",Teenage marriages could be a good idea if both people truly love one another.,teenage_marriage,neutral
333,"However, this is a very young age, and a teenager's decision making is not up to par with an adults.",Teenage marriage would most certainty cause a shake up in our society today.,teenage_marriage,neutral
334,"Teenage marriage would most likely make a already high divorce rate, even higher.",Teenage marriages could be a good idea if both people truly love one another.,teenage_marriage,neutral
335,"Teenage marriage would most likely make a already high divorce rate, even higher.",Teenage marriage would most certainty cause a shake up in our society today.,teenage_marriage,neutral
336,"If teenagers were allowed to marry one another, you would probably see many more kids getting married before even graduating high school!",Teenage marriages could be a good idea if both people truly love one another.,teenage_marriage,neutral
337,Teenage marriage would most certainty cause a shake up in our society today.,Teenage marriages could be a good idea if both people truly love one another.,teenage_marriage,neutral
338,People change as they get older and find themselves.,and as a teenager you do not have the level required to make a marriage work.,teenage_marriage,neutral
339,Confidence is a big part of being successful in a relationship.,and as a teenager you do not have the level required to make a marriage work.,teenage_marriage,neutral
340,Teenage years are critical for brain development.,are not ready for responsibility that marriages bring.,teenage_marriage,neutral
341,Teens are still children and,Teenage marriages are not a good idea.,teenage_marriage,neutral
342,Teens are still children and,Teenage years are critical for brain development.,teenage_marriage,neutral
343,are not ready for responsibility that marriages bring.,Teenage years are critical for brain development.,teenage_marriage,neutral
344,There is no harm in waiting a few years.,Teenage years are critical for brain development.,teenage_marriage,neutral
345,People in their teens are still developing and figuring out what they want in life.,but it can be a lot harder to support children when you are young.,teenage_marriage,neutral
346,"The influence of another can make things seem like that is what they want,",but it can be a lot harder to support children when you are young.,teenage_marriage,neutral
347,It will generally be better for both parties.,The child will be better off staying with its biological parents.,teenage_parenthood,neutral
348,It will generally be better for both parties.,"If the child and parent become separated, the entire bloodline and family becomes fractured.",teenage_parenthood,neutral
349,Having a child will cause the teenager to have to grow up.,The child will be better off staying with its biological parents.,teenage_parenthood,neutral
350,"If the child and parent become separated, the entire bloodline and family becomes fractured.","I think that, in most circumstances, teenagers that get pregnant should keep their children.",teenage_parenthood,neutral
351,It is not natural or beneficial for this to happen.,The child will be better off staying with its biological parents.,teenage_parenthood,neutral
352,"However, it is a basic human right that people can have children and raise them.",Teenagers that get pregnant should keep their children.,teenage_parenthood,neutral
353,Teens are inexperienced with life,Teenagers that get pregnant should keep their children.,teenage_parenthood,neutral
354,Teenagers that get pregnant are not ready to enter into such a commitment.,"While they can seek help from family for this,",teenage_parenthood,neutral
355,They got to where they are now by being in the moment and not thinking about their future.,Teenagers that get pregnant should not keep their children.,teenage_parenthood,neutral
356,They got to where they are now by being in the moment and not thinking about their future.,"While they can seek help from family for this,",teenage_parenthood,neutral
357,"Their ability to raise a child is questionable,","While they can seek help from family for this,",teenage_parenthood,neutral
358,and we cannot forget that they themselves are in many ways still children.,Teenagers that get pregnant are not ready to enter into such a commitment.,teenage_parenthood,neutral
359,and we cannot forget that they themselves are in many ways still children.,"While they can seek help from family for this,",teenage_parenthood,neutral
360,"The teenager will have a much more difficult time getting ahead in life, and this will disproportionately affect the lower classes more than the upper.",Teenagers that get pregnant are not ready to enter into such a commitment.,teenage_parenthood,neutral
361,"The teenager will have a much more difficult time getting ahead in life, and this will disproportionately affect the lower classes more than the upper.","While they can seek help from family for this,",teenage_parenthood,neutral
362,not everyone will have the same level of support.,Teenagers that get pregnant should not keep their children.,teenage_parenthood,neutral
363,not everyone will have the same level of support.,Teenagers that get pregnant are not ready to enter into such a commitment.,teenage_parenthood,neutral
364,The world is a tough place and,because they do not allow their children to learn by making mistakes.,helicopter_parents,neutral
365,the child also has the knowledge that their parent will always be there for them.,They want to make sure that their child is safe and be there when their child is in need.,helicopter_parents,neutral
366,"this way, they can continue to make bigger decisions as they grow into teens and young adults.",Helicopter parents are bad for their children.,helicopter_parents,neutral
367,there are few arguments to support.,Helicopter parenting has proven to be detrimental to the success of children.,helicopter_parents,neutral
368,tend not to allow their children to develop the ability to effectively cope with adversity on their own.,"There are, of course, real safety concerns from which children need to be protected.",helicopter_parents,neutral
369,"However, excessive parental caution is likely to result in children who grow into adults less capable than otherwise in dealing with a complex, sometimes unfriendly, world.","Further, such parents' constant hovering prevents their children from really experiencing independence or fully appreciating the benefits (and perils) of risk taking.",helicopter_parents,neutral
370,"If you do not have any siblings, you have all the attention of your parents and do not have to share.","Furthermore, you don't have any sibling rivalry.",only_child,neutral
371,There is no pressure to do better than some one else.,"Furthermore, you don't have any sibling rivalry.",only_child,neutral
372,"Being an only child can also cause feelings of loneliness and isolation, which are not good for a child's mental health.","and because of this, they think they are entitled to more and better things than others as they grow up.",only_child,neutral
373,"Being an only child can be boring for a child, so it is also more of a strain on the parents to keep the child busy and to socialize the child.","and because of this, they think they are entitled to more and better things than others as they grow up.",only_child,neutral
374,Only children lack necessary social skills.,But China has survived as a country with the one child rule,only_child,neutral
375,"Children with siblings are happier as they always have someone to go to for help, or someone to play with.","While children with siblings might get less attention from their parents,",only_child,neutral
376,"However, many sports can be """"toned down"""" for novices or those who are just starting out,",and gets the heart rate going.,sports_as_family_activity,neutral
377,This is not necessarily the case.,Doing sports together is a good thing for families.,sports_as_family_activity,neutral
378,Adults have the opportunity to demonstrate sportsmanship and proper behavior to their children.,Some may think that competitive environment generally associated with sport can be disruptive of family harmony.,sports_as_family_activity,neutral
379,It is also an excellent way to improve the family's total health.,Families participating in sports teams can be a good way to bond.,sports_as_family_activity,neutral
380,but the positive benefits far outweigh any risks.,Doing sports together is a good thing for families.,sports_as_family_activity,neutral
381,but the positive benefits far outweigh any risks.,Families participating in sports teams can be a good way to bond.,sports_as_family_activity,neutral
382,Would you say does tending a garden negatively affect family life? Of course you wouldn't.,Video games do not have a negative impact on family life.,video_games_bad_for_families,neutral
383,Such activities cannot be inherently bad.,Video games do not have a negative impact on family life.,video_games_bad_for_families,neutral
384,There are few times in the average family were they can interact with each other on a close level without any interruptions.,The time playing video games should be limited by parents or caregivers.,video_games_bad_for_families,neutral
385,"There are many games available that are suitable for all ages, and playing those as a family can bring the family together.","The problem that exists is potentially in violent video games,",video_games_bad_for_families,neutral
386,"Family video games would be the modern day equivalent to gathering as a family to play a board game, and there has never been controversy around that activity.","The problem that exists is potentially in violent video games,",video_games_bad_for_families,neutral
387,They also give us comfort and warm feelings and help promote a happier lifestyle.,because they're a part of the family.,treat_dogs_as_humans,neutral
388,They're fulling and fun to be around.,because they're a part of the family.,treat_dogs_as_humans,neutral
389,It is not normal behavior to treat you dog as an equal to your family.,If a person loses their source of income then their dogs may suffer and not receive adequate care.,treat_dogs_as_humans,neutral
390,In some ways it is good for the heart to have a fur friend in your home.,If a person loses their source of income then their dogs may suffer and not receive adequate care.,treat_dogs_as_humans,neutral
391,because we never know what will happen in the future.,If a person loses their source of income then their dogs may suffer and not receive adequate care.,treat_dogs_as_humans,neutral
392,"""For centuries, dogs have been known as """"man's best friend.""""",so we should be able to rely on them.,treat_dogs_as_humans,neutral
393,"On the negative, a larger family costs a whole lot more.",A larger family will create a better atmosphere for a child.,large_families_better_for_children,neutral
394,"They will be more outgoing, more playful,",because they will learn so much more.,large_families_better_for_children,neutral
395,because of not being around just adults all the time.,because they will learn so much more.,large_families_better_for_children,neutral
396,because of not being around just adults all the time.,A larger family will create a better atmosphere for a child.,large_families_better_for_children,neutral
397,"Statistics show there is a larger ratio of teen pregnancies, school dropouts, and criminal convictions in families with more than 3 children.",One possible counter argument is that there is more long term bonding and support among the siblings.,large_families_better_for_children,neutral
398,The main problem is the loss of parental focus and guidance for each child.,One possible counter argument is that there is more long term bonding and support among the siblings.,large_families_better_for_children,neutral
399,and with a larger family love could come from other sources than just the parents.,"Large families provide a wonderful life for children,",large_families_better_for_children,neutral
